id_plant,date,ID_trt,block,plant,n_trt,drought,tmp,VPD,DAD,Cumul_FC,Cumul_N,Cumul_DD,time,machine,anet_420,ci_420,gs_420,vpd_leaf,temperature_leaf,vcmax_tleaf,vcmax_tleaf_se,jmax_tleaf,jmax_tleaf_se,rd_tleaf,rd_tleaf_se,TPU,TPU_se,aci_RMSE,aci_ci_transistion,aci_ci_transition_set,aci_km,aci_gammastar,aci_fitmethod,aci_tcorrect,aci_fittpu,deltaC13,percentage_C,percentage_N,total_leaves,stem,rep_org,senescence,roots,transpiration
hn_b1_p1,25-May,B1,1,1,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,43.44622657,272.1831214,0.999341127,1.516286084,25.01026349,189.9546245,1.294906594,355.1627292,NA,1.610358333,0.240224848,17.62880377,NA,3.0819235,299.0250005,NA,710.9533037,42.77252897,bilinear,FALSE,TRUE,-31.3,28.44846281,4.193493266,,,,,,
hn_b1_p2,25-May,B1,1,2,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,47.22565334,256.6082686,0.946120793,1.529372625,25.02939543,232.9964798,1.66099415,493.5211759,NA,5.514140617,0.294228048,21.87434359,NA,5.175917297,292.4303012,NA,712.1297927,42.81445942,bilinear,FALSE,TRUE,-29.57,42.94430601,5.867567454,,,,,,
hn_b1_p3,25-May,B1,1,3,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,40.70699294,259.8004208,0.744641873,1.519017476,25.01194884,204.0616725,1.846703347,401.8588121,NA,6.189130384,0.338908665,18.57702715,NA,16.24679127,304.3172458,NA,711.0547367,42.77618223,bilinear,FALSE,TRUE,-30.75,39.19223818,5.500028707,,,,,,
hn_b1_p4,25-May,B1,1,4,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,35.40015353,248.3835922,0.526843968,1.505410867,24.99792355,198.2340267,4.111982137,380.5292056,NA,7.195389068,0.735574333,18.75574406,NA,8.310259838,300.5642482,NA,710.193447,42.74546524,bilinear,FALSE,TRUE,-30.05,40.67266454,6.208265963,,,,,,
hn_b1_p5,25-May,B1,1,5,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,25.45108551,238.3112136,0.303976378,1.480899215,24.98849082,168.8377355,5.591208543,329.0624797,NA,9.377326095,1.059591593,17.70400736,NA,12.96763422,341.2869538,NA,709.6153331,42.72482754,bilinear,FALSE,TRUE,-30.12,37.40844714,4.640784972,,,,,,
hn_b1_p6,25-May,B1,1,6,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,37.15986274,251.5564266,0.584457486,1.491524844,24.99009862,216.2030472,4.547439049,521.9084409,NA,8.656541607,0.886768054,24.42296442,NA,11.34273494,359.6641938,NA,709.7148448,42.72836309,bilinear,FALSE,TRUE,-30.53,41.40366838,6.558488658,,,,,,
hn_b1_p7,25-May,B1,1,7,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,26.54072792,309.8419401,0.746593012,1.508165448,25.00670865,106.7862908,1.031180776,193.1491064,NA,1.244302067,0.215279914,NA,NA,5.293049679,359.086513,NA,710.7321405,42.76469098,bilinear,FALSE,TRUE,-31.6,40.85862562,6.28787192,,,,,,
hn_b1_p8,25-May,B1,1,8,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,47.24632998,248.0390364,0.848014546,1.511314593,25.02719907,237.32845,2.066583275,492.4520965,NA,4.233559602,0.356373645,19.97908593,NA,14.62384905,280.8145032,NA,711.9911123,42.80957943,bilinear,FALSE,TRUE,-29.92,40.90085066,5.773565917,,,,,,
hn_b5_p1,25-May,B5,5,1,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,43.22529256,274.2777821,1.019629562,1.506628397,25.00921637,189.3335834,2.00358867,346.9357307,NA,1.574548462,0.364997105,21.39119838,NA,5.292059676,291.1263018,NA,710.8869822,42.77019864,bilinear,FALSE,TRUE,-31.04,21.72613262,2.888148225,,,,,,
hn_b5_p2,25-May,B5,5,2,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,43.89753534,257.8369289,0.832351323,1.512694458,25.02848238,203.4281794,1.960304138,367.9318884,NA,1.674293132,0.340148248,19.07593203,NA,7.137564783,273.0556823,NA,712.0705452,42.81240147,bilinear,FALSE,TRUE,-31.17,40.83164403,5.664069171,,,,,,
