Name,chlorophyll_absorbance:649,chlorophyll_absorbance:665,Blank chlorophyll_absorbance:649,Blank chlorophyll_absorbance:665
B3_LN_FDD_P1_t2,0.095,0.125,0.054,0.084
B3_LN_FDD_P1_t2,0.125,0.171,0.083,0.13
B3_LN_FDD_P1_t2,0.152,0.213,0.111,0.172
B3_LN_FDD_P2_t2,0.163,0.239,0.121,0.198
B3_LN_FDD_P2_t2,0.28,0.428,0.238,0.387
B3_LN_FDD_P2_t2,0.294,0.453,0.252,0.411
B3_LN_FDD_P3_t2,0.148,0.282,0.106,0.24
B3_LN_FDD_P3_t2,0.181,0.348,0.139,0.307
B3_LN_FDD_P3_t2,0.192,0.375,0.15,0.334
B3_LN_FDD_P4_t2,0.256,0.478,0.214,0.437
B3_LN_FDD_P4_t2,0.255,0.473,0.213,0.432
B3_LN_FDD_P4_t2,0.256,0.48,0.215,0.439
B3_LN_FDD_P5_t2,0.268,0.415,0.226,0.374
B3_LN_FDD_P5_t2,0.262,0.405,0.22,0.364
B3_LN_FDD_P5_t2,0.252,0.392,0.21,0.351
B3_LN_FDD_P6_t2,0.284,0.539,0.242,0.498
B3_LN_FDD_P6_t2,0.275,0.513,0.233,0.472
B3_LN_FDD_P6_t2,0.242,0.45,0.201,0.409
B3_LN_FDD_P7_t2,0.27,0.317,0.228,0.275
B3_LN_FDD_P7_t2,0.225,0.263,0.183,0.221
B3_LN_FDD_P7_t2,0.225,0.264,0.184,0.223
B3_LN_FDD_P8_t2,0.243,0.413,0.202,0.372
B3_LN_FDD_P8_t2,0.245,0.418,0.203,0.377
B3_LN_FDD_P8_t2,0.212,0.359,0.17,0.318
B2_LN_SPD_P1_t2,0.225,0.404,0.183,0.363
B2_LN_SPD_P1_t2,0.211,0.374,0.169,0.333
B2_LN_SPD_P1_t2,0.203,0.36,0.162,0.319
B2_LN_SPD_P2_t2,0.201,0.3,0.159,0.259
B2_LN_SPD_P2_t2,0.216,0.322,0.174,0.281
B2_LN_SPD_P2_t2,0.197,0.294,0.155,0.253
B2_LN_SPD_P3_t2,0.202,0.321,0.16,0.28
B2_LN_SPD_P3_t2,0.262,0.425,0.221,0.384
B2_LN_SPD_P3_t2,0.214,0.341,0.173,0.3
B2_LN_SPD_P4_t2,0.194,0.3,0.152,0.259
B2_LN_SPD_P4_t2,0.221,0.345,0.179,0.303
B2_LN_SPD_P4_t2,0.194,0.299,0.153,0.258
B2_LN_SPD_P5_t2,0.22,0.487,0.178,0.446
B2_LN_SPD_P5_t2,0.198,0.43,0.157,0.389
B2_LN_SPD_P5_t2,0.216,0.473,0.174,0.432
B2_LN_SPD_P6_t2,0.233,0.356,0.192,0.315
B2_LN_SPD_P6_t2,0.212,0.318,0.17,0.277
B2_LN_SPD_P6_t2,0.21,0.319,0.169,0.277
B2_LN_SPD_P7_t2,0.234,0.307,0.192,0.265
B2_LN_SPD_P7_t2,0.202,0.264,0.16,0.222
B2_LN_SPD_P7_t2,0.205,0.265,0.163,0.224
B2_LN_SPD_P8_t2,0.235,0.315,0.193,0.274
B2_LN_SPD_P8_t2,0.215,0.288,0.173,0.247
B2_LN_SPD_P8_t2,0.175,0.23,0.133,0.189
B7_LN_WW_P1_t2,0.228,0.267,0.186,0.226
B7_LN_WW_P1_t2,0.217,0.254,0.175,0.213
B7_LN_WW_P1_t2,0.228,0.267,0.186,0.225
B7_LN_WW_P2_t2,0.195,0.23,0.154,0.189
B7_LN_WW_P2_t2,0.186,0.219,0.145,0.178
B7_LN_WW_P2_t2,0.208,0.246,0.167,0.205
B7_LN_WW_P3_t2,0.193,0.307,0.152,0.266
B7_LN_WW_P3_t2,0.2,0.323,0.159,0.282
B7_LN_WW_P3_t2,0.181,0.29,0.139,0.249
B7_LN_WW_P4_t2,0.21,0.295,0.168,0.254
B7_LN_WW_P4_t2,0.18,0.25,0.138,0.209
B7_LN_WW_P4_t2,0.15,0.202,0.109,0.161
B7_LN_WW_P5_t2,0.151,0.224,0.11,0.182
B7_LN_WW_P5_t2,0.194,0.295,0.152,0.253
B7_LN_WW_P5_t2,0.17,0.253,0.128,0.212
B7_LN_WW_P6_t2,0.178,0.287,0.137,0.246
B7_LN_WW_P6_t2,0.183,0.292,0.141,0.251
B7_LN_WW_P6_t2,0.166,0.261,0.124,0.22
B7_LN_WW_P7_t2,0.193,0.253,0.152,0.211
B7_LN_WW_P7_t2,0.2,0.263,0.158,0.221
B7_LN_WW_P7_t2,0.173,0.226,0.131,0.185
B7_LN_WW_P8_t2,0.209,0.295,0.168,0.254
B7_LN_WW_P8_t2,0.187,0.262,0.146,0.22
B7_LN_WW_P8_t2,0.18,0.251,0.138,0.21
B6_HN_FDD_P2_t2,0.325,0.516,0.283,0.475
B6_HN_FDD_P2_t2,0.235,0.363,0.193,0.322
B6_HN_FDD_P2_t2,0.21,0.324,0.169,0.282
B6_HN_FDD_P3_t2,0.273,0.642,0.231,0.601
B6_HN_FDD_P3_t2,0.207,0.478,0.166,0.437
B6_HN_FDD_P3_t2,0.251,0.592,0.209,0.551
B6_HN_FDD_P4_t2,0.18,0.397,0.139,0.355
B6_HN_FDD_P4_t2,0.184,0.408,0.142,0.366
B6_HN_FDD_P4_t2,0.23,0.529,0.188,0.488
B6_HN_FDD_P5_t2,0.231,0.46,0.189,0.419
B6_HN_FDD_P5_t2,0.204,0.4,0.163,0.358
B6_HN_FDD_P5_t2,0.227,0.446,0.186,0.405
B6_HN_FDD_P6_t2,0.288,0.629,0.247,0.588
B6_HN_FDD_P6_t2,0.196,0.412,0.154,0.371
B6_HN_FDD_P6_t2,0.19,0.396,0.148,0.355
B6_HN_FDD_P7_t2,0.247,0.533,0.205,0.492
B6_HN_FDD_P7_t2,0.208,0.431,0.167,0.39
B6_HN_FDD_P7_t2,0.317,0.706,0.275,0.664
B6_HN_FDD_P8_t2,0.24,0.563,0.198,0.522
B6_HN_FDD_P8_t2,0.224,0.518,0.182,0.477
B6_HN_FDD_P8_t2,0.167,0.374,0.125,0.333
B1_HN_WW_P1_t2,0.256,0.504,0.157,0.406
B1_HN_WW_P1_t2,0.238,0.465,0.14,0.367
B1_HN_WW_P1_t2,0.237,0.463,0.139,0.366
B1_HN_WW_P2_t2,0.208,0.459,0.11,0.361
B1_HN_WW_P2_t2,0.207,0.458,0.109,0.36
B1_HN_WW_P2_t2,0.18,0.389,0.082,0.291
B1_HN_WW_P3_t2,0.226,0.386,0.128,0.288
B1_HN_WW_P3_t2,0.199,0.331,0.1,0.233
B1_HN_WW_P3_t2,0.167,0.272,0.068,0.174
B1_HN_WW_P4_t2,0.174,0.315,0.075,0.218
B1_HN_WW_P4_t2,0.147,0.259,0.049,0.162
B1_HN_WW_P4_t2,0.178,0.324,0.08,0.226
B1_HN_WW_P5_t2,0.158,0.204,0.06,0.106
B1_HN_WW_P5_t2,0.174,0.225,0.076,0.127
B1_HN_WW_P5_t2,0.195,0.249,0.097,0.151
B1_HN_WW_P6_t2,0.163,0.302,0.065,0.204
B1_HN_WW_P6_t2,0.213,0.409,0.115,0.311
B1_HN_WW_P6_t2,0.194,0.367,0.095,0.269
B1_HN_WW_P7_t2,0.173,0.266,0.075,0.168
B1_HN_WW_P7_t2,0.175,0.27,0.077,0.172
B1_HN_WW_P7_t2,0.183,0.283,0.085,0.186
B1_HN_WW_P8_t2,0.152,0.316,0.053,0.218
B1_HN_WW_P8_t2,0.171,0.36,0.073,0.262
B1_HN_WW_P8_t2,0.146,0.305,0.048,0.207
B5_HN_SPD_P1_t2,0.148,0.271,0.05,0.173
B5_HN_SPD_P1_t2,0.184,0.341,0.086,0.243
B5_HN_SPD_P1_t2,0.159,0.284,0.061,0.186
B5_HN_SPD_P2_t2,0.158,0.234,0.059,0.136
B5_HN_SPD_P2_t2,0.202,0.302,0.103,0.205
B5_HN_SPD_P2_t2,0.171,0.251,0.072,0.153
B5_HN_SPD_P3_t2,0.18,0.275,0.082,0.177
B5_HN_SPD_P3_t2,0.161,0.265,0.063,0.167
B5_HN_SPD_P3_t2,0.166,0.276,0.067,0.178
B5_HN_SPD_P4_t2,0.143,0.219,0.045,0.122
B5_HN_SPD_P4_t2,0.169,0.265,0.071,0.167
B5_HN_SPD_P4_t2,0.158,0.247,0.06,0.149
B5_HN_SPD_P5_t2,0.191,0.217,0.093,0.119
B5_HN_SPD_P5_t2,0.193,0.22,0.094,0.122
B5_HN_SPD_P5_t2,0.203,0.231,0.105,0.133
B5_HN_SPD_P6_t2,0.16,0.315,0.062,0.217
B5_HN_SPD_P6_t2,0.162,0.324,0.064,0.226
B5_HN_SPD_P6_t2,0.16,0.316,0.062,0.218
B5_HN_SPD_P7_t2,0.144,0.276,0.046,0.178
B5_HN_SPD_P7_t2,0.18,0.353,0.082,0.255
B5_HN_SPD_P7_t2,0.149,0.282,0.051,0.184
B5_HN_SPD_P8_t2,0.158,0.24,0.06,0.142
B5_HN_SPD_P8_t2,0.157,0.245,0.058,0.147
B5_HN_SPD_P8_t2,0.164,0.258,0.065,0.16
B6_HN_FDD_P1_t2,0.184,0.283,0.086,0.185
B6_HN_FDD_P1_t2,0.206,0.321,0.108,0.223
B6_HN_FDD_P1_t2,0.201,0.312,0.103,0.214
B1_HN_WW_P1_t3,0.223,0.452,0.182,0.412
B1_HN_WW_P1_t3,0.199,0.397,0.159,0.356
B1_HN_WW_P1_t3,0.168,0.325,0.127,0.284
B1_HN_WW_P2_t3,0.208,0.444,0.167,0.403
