ID_trt,n_trt,drought,plant,DAD,FC
B6,HN,FDD,1,1,0.983606557
B6,HN,FDD,1,2,0.901639344
B6,HN,FDD,1,3,0.844262295
B6,HN,FDD,1,4,0.762295082
B6,HN,FDD,1,5,0.606557377
B6,HN,FDD,1,6,0.532786885
B6,HN,FDD,1,7,0.516393443
B6,HN,FDD,1,8,0.459016393
B6,HN,FDD,1,9,0.327868852
B6,HN,FDD,1,10,0.327868852
B6,HN,FDD,1,11,0.327868852
B6,HN,FDD,1,12,0.327868852
B6,HN,FDD,1,13,0.327868852
B6,HN,FDD,1,14,0.327868852
B6,HN,FDD,1,15,0.327868852
B6,HN,FDD,1,16,0.327868852
B6,HN,FDD,1,17,0.327868852
B6,HN,FDD,1,18,0.327868852
B6,HN,FDD,1,19,0.327868852
B6,HN,FDD,1,20,0.196721311
B6,HN,FDD,1,21,0.196721311
B6,HN,FDD,1,22,0.196721311
B6,HN,FDD,1,23,0.196721311
B6,HN,FDD,1,24,0.196721311
B6,HN,FDD,1,25,0.180327869
B6,HN,FDD,1,26,0.180327869
B6,HN,FDD,1,27,0.180327869
B6,HN,FDD,1,28,0.180327869
B6,HN,FDD,1,29,0.852459016
B6,HN,FDD,1,30,0.639344262
B6,HN,FDD,1,31,0.491803279
B6,HN,FDD,1,32,0.360655738
B6,HN,FDD,1,33,0.180327869
B6,HN,FDD,1,34,0.180327869
B6,HN,FDD,1,35,0.180327869
B6,HN,FDD,1,36,0.180327869
B6,HN,FDD,1,37,0.180327869
B6,HN,FDD,1,38,0.180327869
B6,HN,FDD,2,1,0.983606557
B6,HN,FDD,2,2,0.918032787
B6,HN,FDD,2,3,0.893442623
B6,HN,FDD,2,4,0.844262295
B6,HN,FDD,2,5,0.721311475
B6,HN,FDD,2,6,0.663934426
B6,HN,FDD,2,7,0.647540984
B6,HN,FDD,2,8,0.590163934
B6,HN,FDD,2,9,0.508196721
B6,HN,FDD,2,10,0.467213115
B6,HN,FDD,2,11,0.450819672
B6,HN,FDD,2,12,0.344262295
B6,HN,FDD,2,13,0.327868852
B6,HN,FDD,2,14,0.327868852
B6,HN,FDD,2,15,0.327868852
B6,HN,FDD,2,16,0.327868852
B6,HN,FDD,2,17,0.327868852
B6,HN,FDD,2,18,0.327868852
B6,HN,FDD,2,19,0.327868852
B6,HN,FDD,2,20,0.213114754
B6,HN,FDD,2,21,0.196721311
B6,HN,FDD,2,22,0.196721311
B6,HN,FDD,2,23,0.196721311
B6,HN,FDD,2,24,0.196721311
