"sample","ID_trt","n_trt","drought","plant","leaf","total.leaf.area"
"B1_HN_WW_P1_L1","B1","HN","WW","1","L1",159.21
"B1_HN_WW_P1_L2","B1","HN","WW","1","L2",136.637
"B1_HN_WW_P1_L3","B1","HN","WW","1","L3",98.039
"B1_HN_WW_P1_L4","B1","HN","WW","1","L4",15.911
"B1_HN_WW_P1_L5","B1","HN","WW","1","L5",17.878
"B1_HN_WW_P2_L1","B1","HN","WW","2","L1",205.335
"B1_HN_WW_P2_L2","B1","HN","WW","2","L2",267.569
"B1_HN_WW_P2_L3","B1","HN","WW","2","L3",34.784
"B1_HN_WW_P2_L4","B1","HN","WW","2","L4",116.803
"B1_HN_WW_P2_L5","B1","HN","WW","2","L5",37.647
"B1_HN_WW_P2_L6","B1","HN","WW","2","L6",155.386
"B1_HN_WW_P3_L1","B1","HN","WW","3","L1",22.392
"B1_HN_WW_P3_L2","B1","HN","WW","3","L2",25.479
"B1_HN_WW_P3_L3","B1","HN","WW","3","L3",119.958
"B1_HN_WW_P4_L1","B1","HN","WW","4","L1",144.22
"B1_HN_WW_P4_L2","B1","HN","WW","4","L2",164.355
"B1_HN_WW_P4_L3","B1","HN","WW","4","L3",156.035
"B1_HN_WW_P4_L4","B1","HN","WW","4","L4",159.893
"B1_HN_WW_P4_L5","B1","HN","WW","4","L5",161.027
"B1_HN_WW_P4_L6","B1","HN","WW","4","L6",63.981
"B1_HN_WW_P4_L7","B1","HN","WW","4","L7",29.466
"B1_HN_WW_P4_L8","B1","HN","WW","4","L8",21.781
"B1_HN_WW_P5_L1","B1","HN","WW","5","L1",158.596
"B1_HN_WW_P5_L2","B1","HN","WW","5","L2",135.827
"B1_HN_WW_P5_L3","B1","HN","WW","5","L3",44.283
"B1_HN_WW_P5_L4","B1","HN","WW","5","L4",35.328
"B1_HN_WW_P5_L5","B1","HN","WW","5","L5",43.352
"B1_HN_WW_P6_L1","B1","HN","WW","6","L1",150.666
"B1_HN_WW_P6_L2","B1","HN","WW","6","L2",131.317
"B1_HN_WW_P6_L3","B1","HN","WW","6","L3",79.881
"B1_HN_WW_P6_L4","B1","HN","WW","6","L4",41.264
"B1_HN_WW_P6_L5","B1","HN","WW","6","L5",25.513
"B1_HN_WW_P7_L1","B1","HN","WW","7","L1",135.067
"B1_HN_WW_P7_L2","B1","HN","WW","7","L2",88.282
"B1_HN_WW_P7_L3","B1","HN","WW","7","L3",67.112
