"ID_trt","n_trt","drought","date","plant","time","plant_surface_area","datetime"
"B1","HN","WW","6/12/2023","P1","t2",2488.9965,2023-06-12
"B1","HN","WW","6/12/2023","P2","t2",2727.067,2023-06-12
"B1","HN","WW","6/12/2023","P3","t2",2144.0645,2023-06-12
"B1","HN","WW","6/12/2023","P4","t2",2756.793,2023-06-12
"B1","HN","WW","6/12/2023","P5","t2",2614.271,2023-06-12
"B1","HN","WW","6/12/2023","P6","t2",1868.6635,2023-06-12
"B1","HN","WW","6/12/2023","P7","t2",1283.239,2023-06-12
"B1","HN","WW","6/12/2023","P8","t2",2945.5735,2023-06-12
"B1","HN","WW","6/22/2023","P1","t3",3493.239,2023-06-22
"B1","HN","WW","6/22/2023","P2","t3",4450.794,2023-06-22
"B1","HN","WW","6/22/2023","P3","t3",3354.004,2023-06-22
"B1","HN","WW","6/22/2023","P4","t3",3228.7145,2023-06-22
"B1","HN","WW","6/22/2023","P5","t3",3339.457,2023-06-22
"B1","HN","WW","6/22/2023","P6","t3",3039.4825,2023-06-22
"B1","HN","WW","6/22/2023","P7","t3",2246.458,2023-06-22
"B1","HN","WW","6/22/2023","P8","t3",3644.471,2023-06-22
"B1","HN","WW","7/3/2023","P1","t4",4940.8205,2023-07-03
"B1","HN","WW","7/3/2023","P2","t4",4506.154,2023-07-03
"B1","HN","WW","7/3/2023","P3","t4",4013.781,2023-07-03
"B1","HN","WW","7/3/2023","P4","t4",3699.9365,2023-07-03
"B1","HN","WW","7/3/2023","P5","t4",5454.841,2023-07-03
"B1","HN","WW","7/3/2023","P6","t4",5227.1655,2023-07-03
"B1","HN","WW","7/3/2023","P7","t4",2655.919,2023-07-03
"B1","HN","WW","7/3/2023","P8","t4",4083.861,2023-07-03
"B1","HN","predrought","5/26/2023","P1","t1",1235.9875,2023-05-26
"B1","HN","predrought","5/26/2023","P2","t1",1734.408,2023-05-26
"B1","HN","predrought","5/26/2023","P3","t1",1684.93,2023-05-26
"B1","HN","predrought","5/26/2023","P4","t1",1688.3825,2023-05-26
"B1","HN","predrought","5/26/2023","P5","t1",1950.3045,2023-05-26
"B1","HN","predrought","5/26/2023","P6","t1",1131.6835,2023-05-26
"B1","HN","predrought","5/26/2023","P7","t1",791.573,2023-05-26
"B1","HN","predrought","5/26/2023","P8","t1",2613.594,2023-05-26
"B2","LN","SPD","6/12/2023","P1","t2",1532.0055,2023-06-12
"B2","LN","SPD","6/12/2023","P2","t2",960.421,2023-06-12
"B2","LN","SPD","6/12/2023","P3","t2",827.211,2023-06-12
"B2","LN","SPD","6/12/2023","P4","t2",892.244,2023-06-12
"B2","LN","SPD","6/12/2023","P5","t2",1559.8435,2023-06-12
"B2","LN","SPD","6/12/2023","P6","t2",1371.1005,2023-06-12
"B2","LN","SPD","6/12/2023","P7","t2",940.338,2023-06-12
"B2","LN","SPD","6/12/2023","P8","t2",1710.1805,2023-06-12
"B2","LN","SPD","6/22/2023","P1","t3",2644.689,2023-06-22
"B2","LN","SPD","6/22/2023","P2","t3",1303.623,2023-06-22
"B2","LN","SPD","6/22/2023","P3","t3",2025.522,2023-06-22
"B2","LN","SPD","6/22/2023","P4","t3",1112.7965,2023-06-22
"B2","LN","SPD","6/22/2023","P5","t3",2465.288,2023-06-22
"B2","LN","SPD","6/22/2023","P6","t3",2190.045,2023-06-22
"B2","LN","SPD","6/22/2023","P7","t3",1420.21,2023-06-22
"B2","LN","SPD","6/22/2023","P8","t3",2380.014,2023-06-22
"B2","LN","SPD","7/3/2023","P1","t4",2759.5385,2023-07-03
"B2","LN","SPD","7/3/2023","P2","t4",1303.623,2023-07-03
"B2","LN","SPD","7/3/2023","P3","t4",2102.838,2023-07-03
"B2","LN","SPD","7/3/2023","P4","t4",1112.7965,2023-07-03
"B2","LN","SPD","7/3/2023","P5","t4",2571.495,2023-07-03
"B2","LN","SPD","7/3/2023","P6","t4",2285.18,2023-07-03
"B2","LN","SPD","7/3/2023","P7","t4",1420.21,2023-07-03
"B2","LN","SPD","7/3/2023","P8","t4",2505.5895,2023-07-03
"B2","LN","predrought","5/26/2023","P1","t1",826.692,2023-05-26
"B2","LN","predrought","5/26/2023","P2","t1",704.742,2023-05-26
"B2","LN","predrought","5/26/2023","P3","t1",284.5175,2023-05-26
"B2","LN","predrought","5/26/2023","P4","t1",771.159,2023-05-26
"B2","LN","predrought","5/26/2023","P5","t1",973.5465,2023-05-26
"B2","LN","predrought","5/26/2023","P6","t1",714.7535,2023-05-26
"B2","LN","predrought","5/26/2023","P7","t1",507.5145,2023-05-26
"B2","LN","predrought","5/26/2023","P8","t1",631.0365,2023-05-26
"B3","LN","FDD","6/12/2023","P1","t2",1376.644,2023-06-12
"B3","LN","FDD","6/12/2023","P2","t2",698.672,2023-06-12
"B3","LN","FDD","6/12/2023","P3","t2",1113.872,2023-06-12
"B3","LN","FDD","6/12/2023","P4","t2",764.5775,2023-06-12
"B3","LN","FDD","6/12/2023","P5","t2",1506.3865,2023-06-12
"B3","LN","FDD","6/12/2023","P6","t2",1557.5945,2023-06-12
"B3","LN","FDD","6/12/2023","P7","t2",1128.2085,2023-06-12
"B3","LN","FDD","6/12/2023","P8","t2",1573.518,2023-06-12
"B3","LN","FDD","6/22/2023","P1","t3",1806.173,2023-06-22
"B3","LN","FDD","6/22/2023","P2","t3",2049.712,2023-06-22
"B3","LN","FDD","6/22/2023","P3","t3",1218.334,2023-06-22
"B3","LN","FDD","6/22/2023","P4","t3",1352.5595,2023-06-22
"B3","LN","FDD","6/22/2023","P5","t3",2081.401,2023-06-22
"B3","LN","FDD","6/22/2023","P6","t3",2019.8205,2023-06-22
"B3","LN","FDD","6/22/2023","P7","t3",1576.5945,2023-06-22
"B3","LN","FDD","6/22/2023","P8","t3",1926.408,2023-06-22
"B3","LN","FDD","7/3/2023","P1","t4",1806.173,2023-07-03
"B3","LN","FDD","7/3/2023","P2","t4",2049.712,2023-07-03
"B3","LN","FDD","7/3/2023","P3","t4",1218.334,2023-07-03
"B3","LN","FDD","7/3/2023","P4","t4",1352.5595,2023-07-03
"B3","LN","FDD","7/3/2023","P5","t4",2214.25,2023-07-03
"B3","LN","FDD","7/3/2023","P6","t4",2236.9055,2023-07-03
"B3","LN","FDD","7/3/2023","P7","t4",1576.5945,2023-07-03
"B3","LN","FDD","7/3/2023","P8","t4",2074.827,2023-07-03
"B3","LN","predrought","5/26/2023","P1","t1",1342.3975,2023-05-26
"B3","LN","predrought","5/26/2023","P2","t1",444.5425,2023-05-26
"B3","LN","predrought","5/26/2023","P3","t1",1107.6365,2023-05-26
"B3","LN","predrought","5/26/2023","P4","t1",345.06,2023-05-26
"B3","LN","predrought","5/26/2023","P5","t1",1387.3775,2023-05-26
"B3","LN","predrought","5/26/2023","P6","t1",1174.7605,2023-05-26
"B3","LN","predrought","5/26/2023","P7","t1",659.228,2023-05-26
"B3","LN","predrought","5/26/2023","P8","t1",1382.8795,2023-05-26
"B5","HN","SPD","6/12/2023","P1","t2",2068.9825,2023-06-12
"B5","HN","SPD","6/12/2023","P2","t2",2127.4565,2023-06-12
"B5","HN","SPD","6/12/2023","P3","t2",2809.0765,2023-06-12
"B5","HN","SPD","6/12/2023","P4","t2",1910.522,2023-06-12
"B5","HN","SPD","6/12/2023","P5","t2",546.432,2023-06-12
"B5","HN","SPD","6/12/2023","P6","t2",2013.961,2023-06-12
"B5","HN","SPD","6/12/2023","P7","t2",3069.419,2023-06-12
"B5","HN","SPD","6/12/2023","P8","t2",2135.2415,2023-06-12
"B5","HN","SPD","6/22/2023","P1","t3",2394.5535,2023-06-22
"B5","HN","SPD","6/22/2023","P2","t3",3176.837,2023-06-22
"B5","HN","SPD","6/22/2023","P3","t3",3682.012,2023-06-22
"B5","HN","SPD","6/22/2023","P4","t3",3079.611,2023-06-22
"B5","HN","SPD","6/22/2023","P5","t3",1889.1905,2023-06-22
"B5","HN","SPD","6/22/2023","P6","t3",2322.5855,2023-06-22
