"","Chisq","Df","Pr(>Chisq)","model"
"Cumul_N",0.00692493320160174,1,0.933679644774345,"gs"
"Sdt_DD",10.0083542892042,1,0.00155831709562315,"gs"
"Cumul_N:Sdt_DD",0.934686081932003,1,0.333648202755129,"gs"
"Cumul_N1",4.76137170240709,1,0.0291053439439421,"Chi"
"Sdt_DD1",8.78006570536856,1,0.00304540229484774,"Chi"
"Cumul_N:Sdt_DD1",2.9893139097748,1,0.0838156731229047,"Chi"
"Cumul_N2",4.66403053392635,1,0.0308008075549276,"betaleaf"
"Sdt_DD2",8.45506954408911,1,0.00364027329729204,"betaleaf"
"Cumul_N:Sdt_DD2",3.1268054139414,1,0.0770145188969683,"betaleaf"
"Cumul_N3",37.0755916223048,1,1.13637313195465e-09,"Nmass"
"Sdt_DD3",6.82812145308721,1,0.00897335931148922,"Nmass"
"Cumul_N:Sdt_DD3",2.45165990187385,1,0.117400661415194,"Nmass"
"Cumul_N4",29.0782073519315,1,6.95145528595031e-08,"Narea"
"Sdt_DD4",1.13713144004749,1,0.286259285642046,"Narea"
"Cumul_N:Sdt_DD4",3.60357854518455,1,0.0576553375661847,"Narea"
"Cumul_N5",8.82980590933892,1,0.00296349903619543,"LMA"
"Sdt_DD5",12.7430380042132,1,0.000357336792574505,"LMA"
"Cumul_N:Sdt_DD5",0.0389840449733565,1,0.843480274927123,"LMA"
"Cumul_N6",27.9970192633625,1,1.21502461831344e-07,"Vcmax"
"Sdt_DD6",2.13961305785264,1,0.143538091988789,"Vcmax"
"Cumul_N:Sdt_DD6",1.83031269115554,1,0.176090616431263,"Vcmax"
"Cumul_N7",29.7329984799624,1,4.95835757286155e-08,"Jmax"
"Sdt_DD7",4.00370497469824,1,0.0454003620182759,"Jmax"
"Cumul_N:Sdt_DD7",0.744374917552877,1,0.388263030062564,"Jmax"
"Cumul_N8",0.338356928003892,1,0.560779173039213,"nrubisco"
"Sdt_DD8",0.279937567206804,1,0.596742140305499,"nrubisco"
"Cumul_N:Sdt_DD8",0.28182825637985,1,0.595505409038712,"nrubisco"
"Cumul_N9",1.54755381702715,1,0.213496927334607,"nbioe"
"Sdt_DD9",1.91907839331974,1,0.165958293299096,"nbioe"
"Cumul_N:Sdt_DD9",1.483607136493,1,0.223211004051618,"nbioe"
"Cumul_N10",36.1429373608663,1,1.83361824251527e-09,"nstr"
"Sdt_DD10",8.78568453823033,1,0.0030360361492163,"nstr"
"Cumul_N:Sdt_DD10",1.92784796244744,1,0.164994081030937,"nstr"
"Cumul_N11",14.068651538368,1,0.000176257120551295,"Nlh"
"Sdt_DD11",0.886887972873068,1,0.346322033322341,"Nlh"
"Cumul_N:Sdt_DD11",1.01823000469456,1,0.312939225215359,"Nlh"
"Cumul_N12",4.29856403249571,1,0.0381445673831231,"Chl"
"Sdt_DD12",0.105059800409845,1,0.745840148315801,"Chl"
"Cumul_N:Sdt_DD12",0.941526330270821,1,0.331885617467571,"Chl"
"Cumul_N13",5.56237582851209,1,0.0183504944450487,"WUE"
"Sdt_DD13",4.07620856847876,1,0.0434911432316641,"WUE"
"Cumul_N:Sdt_DD13",1.23850173578369,1,0.265760001360473,"WUE"
"Cumul_N14",1.5126670928862,1,0.218732562313772,"PNUE"
"Sdt_DD14",1.70246481028495,1,0.191965948910924,"PNUE"
"Cumul_N:Sdt_DD14",0.357084889164989,1,0.550129687667508,"PNUE"
"Cumul_N15",29.1800412548331,1,6.59551260614269e-08,"Anet"
"Sdt_DD15",2.50531966231402,1,0.113462460125525,"Anet"
"Cumul_N:Sdt_DD15",3.98669864805443,1,0.0458608373613697,"Anet"
"Cumul_N16",70.7308500889059,1,4.09439577411491e-17,"PSA"
"Sdt_DD16",1.31912511249171,1,0.2507491259995,"PSA"
"Cumul_N:Sdt_DD16",7.58796578131675,1,0.0058759215152945,"PSA"
"Cumul_N17",59.860147382489,1,1.01842909726642e-14,"Biomass"
"Sdt_DD17",0.0417122368212231,1,0.838169284727765,"Biomass"
"Cumul_N:Sdt_DD17",4.69048788308943,1,0.0303300343912794,"Biomass"
"Cumul_N18",9.19504197536114,1,0.00242671525069367,"Ncost"
"Sdt_DD18",1.89562757001361,1,0.168568550693351,"Ncost"
"Cumul_N:Sdt_DD18",6.02810530964045,1,0.0140798386198037,"Ncost"
"Cumul_N19",0.815336989716317,1,0.366547057604659,"Ecost"
"Sdt_DD19",1.36782202846224,1,0.242186442063944,"Ecost"
"Cumul_N:Sdt_DD19",1.2454582380448,1,0.264421705399171,"Ecost"
"Cumul_N20",13.62608138404,1,0.000223064966279412,"beta plant"
"Sdt_DD20",2.85278804331411,1,0.0912156266109621,"beta plant"
"Cumul_N:Sdt_DD20",4.89538994724041,1,0.0269284913492385,"beta plant"
