"id_plant","date.x","ID_trt","block","plant","n_trt","drought","tmp","VPD","DAD","Cumul_FC","Cumul_N","Cumul_DD","time","machine","anet_420","ci_420","gs_420","vpd_leaf","temperature_leaf","vcmax_tleaf","vcmax_tleaf_se","jmax_tleaf","jmax_tleaf_se","rd_tleaf","rd_tleaf_se","TPU","TPU_se","aci_RMSE","aci_ci_transistion","aci_ci_transition_set","aci_km","aci_gammastar","aci_fitmethod","aci_tcorrect","aci_fittpu","deltaC13","percentage_C","percentage_N","total_leaves","stem","rep_org","senescence","roots","transpiration","big_D13","chi","leaves_disk_mg_noChl","nb_disks_scanned","nb_disks_chlorophyll","sample","type","total.leaf.area","chl_disk_leaf_area","nb_disk_SLA","leaf_area_for_SLA","LMA","SLA","Abs_649_mean","Abs_665_mean","Abs_649_sd","Abs_665_sd","chlA_ugml","chlB_ugml","chlA_gml","chlB_gml","chlA_g","chlB_g","chlA_gm2","chlB_gm2","chlA_mmolm2","chlB_mmolm2","chlA_mmolg","chlB_mmolg","chl_mmolm2","chl_gm2","chlmass","chl_mmolg","ratio_chlA_B","Nmass","Narea","nrubisco","nbioe","nlightharvesting","nphoto","Ncw","Nstrucutre","z","patm","nstar","gammastar_pa","Km","D","ca","beta_num","beta_denom","betaleaf","date.y","plant_surface_area","datetime","Abg_all","Abg_t4","biomass_t4","biomass_all","RS_t4","RS_all","root_total","leaves_stem_ratio","Abg_flowers_ratio","stem_and_roots","cost_trans","Ecost","ratio_J_V","N_total_leaves","Ncost","WUE","NUE","betaplant","Sdt_DD","N_level","treatment"
"hn_b1_p1","25-May","B1","1","1","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",43.44622657,272.1831214,0.999341127,1.516286084,25.01026349,189.9546245,1.294906594,355.1627292,NA,1.610358333,0.240224848,17.62880377,NA,3.0819235,299.0250005,NA,710.9533037,42.77252897,"bilinear",FALSE,TRUE,-31.3,28.44846281,4.193493266,NA,NA,NA,NA,NA,NA,24.0528543408692,0.832748065291068,16.8,5,0,NA,NA,3.13276859504132,0,5,3.13276859504132,53.6266867159986,0.0186474321133412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04193493266,2.24883149621432,0.659263569333742,0.125606149707304,NA,NA,0.0899638214044165,0.0400046964638576,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1996.83711307135,2.70611811311291,737.897249715511,"5/26/2023",1235.9875,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86972404664989,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p2","25-May","B1","1","2","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",47.22565334,256.6082686,0.946120793,1.529372625,25.02939543,232.9964798,1.66099415,493.5211759,NA,5.514140617,0.294228048,21.87434359,NA,5.175917297,292.4303012,NA,712.1297927,42.81445942,"bilinear",FALSE,TRUE,-29.57,42.94430601,5.867567454,NA,NA,NA,NA,NA,NA,22.2272600805828,0.755392376295883,17,7,0,NA,NA,4.38587603305785,0,7,4.38587603305785,38.7607854664956,0.0257992707826932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05867567454,2.27431523294686,0.799585336408218,0.172582026985483,NA,NA,0.0572920054098395,0.0251908814485693,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1638.43429235362,5.78821194214353,283.063977050374,"5/26/2023",1734.408,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11814863608081,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p3","25-May","B1","1","3","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",40.70699294,259.8004208,0.744641873,1.519017476,25.01194884,204.0616725,1.846703347,401.8588121,NA,6.189130384,0.338908665,18.57702715,NA,16.24679127,304.3172458,NA,711.0547367,42.77618223,"bilinear",FALSE,TRUE,-30.75,39.19223818,5.500028707,NA,NA,NA,NA,NA,NA,23.4717565127676,0.808125275964729,18.3,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,36.509239840133,0.0273903265140225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05500028707,2.00801867191479,0.793158196469333,0.159164490341633,NA,NA,0.0527191296711944,0.0262543025164815,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1878.91230830476,3.56155769577043,527.553522588189,"5/26/2023",1684.93,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96930078626108,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p4","25-May","B1","1","4","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",35.40015353,248.3835922,0.526843968,1.505410867,24.99792355,198.2340267,4.111982137,380.5292056,NA,7.195389068,0.735574333,18.75574406,NA,8.310259838,300.5642482,NA,710.193447,42.74546524,"bilinear",FALSE,TRUE,-30.05,40.67266454,6.208265963,NA,NA,NA,NA,NA,NA,22.7331305737409,0.776827566683937,17.3,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,34.5141994117104,0.0289735823818851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06208265963,2.14273329447916,0.722064854034143,0.141240846014692,NA,NA,0.0487579346108222,0.0227550179653478,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1734.19966700025,4.8182080083924,359.926276320907,"5/26/2023",1688.3825,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91959580267155,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p5","25-May","B1","1","5","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",25.45108551,238.3112136,0.303976378,1.480899215,24.98849082,168.8377355,5.591208543,329.0624797,NA,9.377326095,1.059591593,17.70400736,NA,12.96763422,341.2869538,NA,709.6153331,42.72482754,"bilinear",FALSE,TRUE,-30.12,37.40844714,4.640784972,NA,NA,NA,NA,NA,NA,22.8069451890956,0.779955304622693,18.2,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,36.3097357972907,0.0275408228135501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04640784972,1.68505676225357,0.782025843359369,0.155311732684632,NA,NA,0.0523191219199298,0.0310488780508254,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1748.40075520243,4.6841010410273,373.262818177588,"5/26/2023",1950.3045,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94898657415362,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p6","25-May","B1","1","6","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",37.15986274,251.5564266,0.584457486,1.491524844,24.99009862,216.2030472,4.547439049,521.9084409,NA,8.656541607,0.886768054,24.42296442,NA,11.34273494,359.6641938,NA,709.7148448,42.72836309,"bilinear",FALSE,TRUE,-30.53,41.40366838,6.558488658,NA,NA,NA,NA,NA,NA,23.2395019959359,0.798283982878641,16.5,6,0,NA,NA,3.75932231404959,0,6,3.75932231404959,43.8908894252965,0.0227837716003005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06558488658,2.87857900485339,0.58620535143404,0.144197124823961,NA,NA,0.068097119796587,0.0236565054083187,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1832.78370278435,3.93627304836785,465.613965358502,"5/26/2023",1131.6835,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41397356632631,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p7","25-May","B1","1","7","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",26.54072792,309.8419401,0.746593012,1.508165448,25.00670865,106.7862908,1.031180776,193.1491064,NA,1.244302067,0.215279914,NA,NA,5.293049679,359.086513,NA,710.7321405,42.76469098,"bilinear",FALSE,TRUE,-31.6,40.85862562,6.28787192,NA,NA,NA,NA,NA,NA,24.3700950020653,0.846190466189206,15,6,0,NA,NA,3.75932231404959,0,6,3.75932231404959,39.9008085684513,0.0250621487603306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0628787192,2.50891173782861,0.332197408306177,0.0612276729264986,NA,NA,0.0596475913848066,0.023774288463583,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2062.7306442669,2.28860561649077,901.304545179689,"5/26/2023",791.573,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80874440860343,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b1_p8","25-May","B1","1","8","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",47.24632998,248.0390364,0.848014546,1.511314593,25.02719907,237.32845,2.066583275,492.4520965,NA,4.233559602,0.356373645,19.97908593,NA,14.62384905,280.8145032,NA,711.9911123,42.80957943,"bilinear",FALSE,TRUE,-29.92,40.90085066,5.773565917,NA,NA,NA,NA,NA,NA,22.5960745505525,0.77102010807426,20.7,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,41.2973368683471,0.0242146364834112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05773565917,2.38432896605956,0.776872502126799,0.164262432378649,NA,NA,0.0625691128715594,0.0262418121669526,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1707.98523707365,5.07223235300582,336.732451947217,"5/26/2023",2613.594,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07498130333721,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p1","25-May","B5","5","1","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",43.22529256,274.2777821,1.019629562,1.506628397,25.00921637,189.3335834,2.00358867,346.9357307,NA,1.574548462,0.364997105,21.39119838,NA,5.292059676,291.1263018,NA,710.8869822,42.77019864,"bilinear",FALSE,TRUE,-31.04,21.72613262,2.888148225,NA,NA,NA,NA,NA,NA,23.778071334214,0.821104717551441,22.3,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,44.4894015538232,0.0224772634621799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02888148225,1.28491986128987,1.15005267915479,0.214740233687104,NA,NA,0.06939129250581,0.0540043738106371,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1940.62687218332,3.09600906835805,626.815629197276,"5/26/2023",886.392,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83240460815152,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p2","25-May","B5","5","2","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",43.89753534,257.8369289,0.832351323,1.512694458,25.02848238,203.4281794,1.960304138,367.9318884,NA,1.674293132,0.340148248,19.07593203,NA,7.137564783,273.0556823,NA,712.0705452,42.81240147,"bilinear",FALSE,TRUE,-31.17,40.83164403,5.664069171,NA,NA,NA,NA,NA,NA,23.9154444020107,0.826925610254689,18.6,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,37.1077519686597,0.0269485470541189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05664069171,2.101808739308,0.755412280008496,0.139224180308993,NA,NA,0.0539242619487575,0.0256561222437925,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1968.62791090435,2.89781106029131,679.349988645031,"5/26/2023",1325.797,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80865743126245,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p3","25-May","B5","5","3","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",38.59464593,257.0521485,0.659799835,1.496646422,25.00615183,194.6174897,2.275653387,394.054979,NA,4.723522603,0.426717086,18.5528064,NA,10.11635705,327.3641343,NA,710.6982081,42.76347629,"bilinear",FALSE,TRUE,-30.6,40.83582614,5.454602757,NA,NA,NA,NA,NA,NA,23.3133897256035,0.801414818881503,18,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,35.9107277116062,0.0278468319559229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05454602757,1.95878754381603,0.775462238395238,0.159996292589485,NA,NA,0.0515216780356174,0.0263028413664735,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1847.39653349586,3.81503144888926,484.241495318138,"5/26/2023",1471.4705,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02476652847301,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p4","25-May","B5","5","4","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",28.57145402,265.728745,0.455725965,1.502971039,24.995109,128.520155,1.012643323,216.8641549,NA,1.257639475,0.185985982,14.25785386,NA,3.325959884,300.7879136,NA,710.0217451,42.73932196,"bilinear",FALSE,TRUE,-31.9,42.1919708,6.164527179,NA,NA,NA,NA,NA,NA,24.6875322797232,0.859641198293354,16.7,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,33.3171751546569,0.0300145494135696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06164527179,2.05384631768386,0.488392986344058,0.0839769822722365,NA,NA,0.0464234179147648,0.0226031604775166,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2129.73564091254,1.90582821145282,1117.48563071644,"5/26/2023",896.08,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68739412818168,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p5","25-May","B5","5","5","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",16.55573053,261.228559,0.212708261,1.487571604,24.99469198,93.91758266,2.508744137,175.3122228,NA,4.165435857,0.512072582,NA,NA,7.640263452,392.0532994,NA,709.9950192,42.73838813,"bilinear",FALSE,TRUE,-29.97,42.54362292,5.240395204,NA,NA,NA,NA,NA,NA,22.648784058225,0.773253561789195,15.5,6,0,NA,NA,3.75932231404959,0,6,3.75932231404959,41.230835520733,0.024253692348707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05240395204,2.16065872719762,0.339255464118705,0.0645307115315196,NA,NA,0.0624291068358293,0.02889355271612,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1718.04325300673,4.97376652761892,345.420968890794,"5/26/2023",292.3175,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86666029762142,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p6","25-May","B5","5","6","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",45.50443924,256.953561,0.881852219,1.500169893,24.99288255,216.7874814,2.266769483,435.2674454,NA,3.856246262,0.416242938,19.00691556,NA,8.187443782,295.2759565,NA,709.884727,42.73444041,"bilinear",FALSE,TRUE,-33.1,22.09461438,3.232227557,NA,NA,NA,NA,NA,NA,25.9592512152239,0.91352759386542,19.6,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,39.1027923970823,0.0255736211840108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03232227557,1.26389123141499,1.33872267863982,0.273896775448053,NA,NA,0.0579958818492121,0.0458867665252195,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2408.91092898496,0.723368403363871,3330.1301491506,"5/26/2023",1729.0375,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00780710486173,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p7","25-May","B5","5","7","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",49.94385094,270.825776,1.282898423,1.265660727,24.9918872,245.8501395,3.269277243,505.8000215,NA,6.58611943,0.515281449,20.42712083,NA,20.04546019,267.0332327,NA,710.2313886,42.73971629,"bilinear",FALSE,TRUE,-30.58,43.09163888,5.14828186,NA,NA,NA,NA,NA,NA,23.2922778568629,0.800520248172155,18.9,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,37.7062640971865,0.0265207923389742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0514828186,1.94122475459915,0.988463779130718,0.207225624120561,NA,NA,0.0551369990558815,0.0284032021151858,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1843.21530275386,3.84948016514937,478.82187300018,"5/26/2023",1912.252,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05735096400057,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b5_p8","25-May","B5","5","8","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",39.72079323,257.3919405,0.69688227,1.495879118,25.00154569,190.0671116,1.569570696,353.572751,NA,2.798303836,0.27744208,18.10479274,NA,5.298035306,296.4968671,NA,710.415692,42.75339465,"bilinear",FALSE,TRUE,-32.02,40.3205247,4.270941751,NA,NA,NA,NA,NA,NA,24.8145622843447,0.865023825607827,18,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,35.9107277116062,0.0278468319559229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04270941751,1.53372626292292,0.96721994203506,0.183345969353604,NA,NA,0.0515216780356174,0.0335924860133968,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2156.84930438607,1.76245759834607,1223.77372732831,"5/26/2023",1433.0495,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86025213948692,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b6_p1","25-May","B6","6","1","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",41.95168491,243.4393087,0.670314991,1.501189281,24.99745808,207.1651635,1.786563473,400.9085178,NA,2.59044554,0.309802425,19.55755549,NA,4.377228005,293.6004852,NA,710.1648349,42.74444529,"bilinear",FALSE,TRUE,-31.12,37.30227897,5.335885234,NA,NA,NA,NA,NA,NA,23.8626042440756,0.824686620511679,18,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,35.9107277116062,0.0278468319559229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05335885234,1.91615521738554,0.84382456202025,0.16640065487109,NA,NA,0.0515216780356174,0.0268880503876482,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1957.83365488699,2.97327152088602,658.477922764205,"5/26/2023",1265.939,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93521203578226,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b6_p2","25-May","B6","6","2","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",35.28919305,283.7381277,0.79318512,1.501657295,25.01403083,144.9451793,2.304598102,242.5101242,NA,-0.005228159,0.3832071,15.37637151,NA,6.731750891,285.9112078,NA,711.1817313,42.78072624,"bilinear",FALSE,TRUE,-33.18,41.6426077,5.171270377,NA,NA,NA,NA,NA,NA,26.0441447218717,0.917124776350496,17.1,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,34.1151913260259,0.0293124546904451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05171270377,1.76418878309965,0.641246253820684,0.109326451292813,NA,NA,0.0479761960671771,0.0271944797103197,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2428.1592631882,0.664437100800761,3654.46068598796,"5/26/2023",1022.3821,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67311617655159,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b6_p3","25-May","B6","6","3","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",21.67497883,336.547247,1.021784612,1.519453546,25.0326251,74.08801282,1.970993124,114.4605757,NA,-1.557546169,0.327937634,8.314994219,NA,3.335618116,282.1207406,NA,712.3250649,42.82147664,"bilinear",FALSE,TRUE,-33.19,40.82081985,6.299491951,NA,NA,NA,NA,NA,NA,26.054757398041,0.917574466018685,14,7,0,NA,NA,4.38587603305785,0,7,4.38587603305785,31.9206468547611,0.0313276859504132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06299491951,2.01083857932281,0.287565551448353,0.0452709023184211,NA,NA,0.0437409280423787,0.0217525804866492,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2430.57091514879,0.657246052572988,3698.11413188955,"5/26/2023",450.7855,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54492705828252,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b6_p4","25-May","B6","6","4","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",37.57241121,248.9718517,0.587594587,1.499079156,24.9971463,182.7193888,1.401669663,339.0863084,NA,2.526217503,0.250866301,16.4083129,NA,10.68319986,302.8084993,NA,710.146349,42.74377458,"bilinear",FALSE,TRUE,-31.12,41.32238809,5.632888336,NA,NA,NA,NA,NA,NA,23.8626042440756,0.824686620511679,17.3,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,34.5141994117104,0.0289735823818851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05632888336,1.94414631292602,0.73353663623463,0.13871446201296,NA,NA,0.0487579346108222,0.0250793545149591,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1957.83365488699,2.97327152088602,658.477922764205,"5/26/2023",1632.165,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85577628420789,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b6_p5","25-May","B6","6","5","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","stan",32.04034453,253.1401216,0.480344364,1.4985003,25.00091144,158.3616403,2.535833355,284.689508,NA,3.257836267,0.462950672,17.1977258,NA,5.854993561,311.0605914,NA,710.3779109,42.75202701,"bilinear",FALSE,TRUE,-32.83,41.22978235,5.25059056,NA,NA,NA,NA,NA,NA,25.6728393147017,0.901391496385663,18.1,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,36.1102317544484,0.0276929820556139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0525059056,1.89600041969319,0.651895050923221,0.1194190099744,NA,NA,0.0519199704138672,0.0273839445785929,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,2344.53644079869,0.940661099915814,2492.43477912344,"5/26/2023",994.329,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79771760042826,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
"hn_b6_p6","25-May","B6","6","6","HN","predrought",29.16,1.95,0,14.75409836,525,0,"t1","gibson",48.93842624,264.5962588,1.078962964,1.282216203,24.93090957,222.9999562,6.02383256,483.8198079,NA,3.452435632,1.158118424,19.06824718,NA,25.27252971,310.8036741,NA,706.7181939,42.61042012,"bilinear",FALSE,TRUE,-30.18,42.3435233,4.944577976,NA,NA,NA,NA,NA,NA,22.8702233404137,0.782636582220919,18,8,0,NA,NA,5.01242975206612,0,8,5.01242975206612,35.9107277116062,0.0278468319559229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04944577976,1.77563393344941,0.980206240845634,0.216705853486214,NA,NA,0.0515216780356174,0.029015934571339,976,90495.2638438288,0.948628353031164,4.77311901816362,91.9665167129146,1950,420,1760.62084754113,4.57064357973243,385.201956098313,"5/26/2023",1803.5855,"2023-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16959597725697,NA,NA,NA,NA,NA,0,"210 ppm","HN x predrought"
